,type,name,nhab,services,rating,price_night,district_id,airbnb_id
119,Habitacion privada,Cozy nice room en Plaza Espana,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina,4.6,52,9,69
120,Habitacion privada,Marina Room close to downtown,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.65,53,9,171
122,Habitacion privada,comoda habitacion en el centro de barcelona,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Lavadora,4.68,54,9,253
123,Habitacion privada,Room near the center,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi,4.21,36,9,211
124,Habitacion privada,Comfortable single room,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.57,37,2,62
125,Habitacion privada,Habitacion doble con balcon panoramico,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.55,42,2,129
126,Habitacion privada,Small room in the Heart of BARCELONA.,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.4,30,2,228
127,Habitacion privada,Habitacion doble en Sagrada Familia,2 huespedes * 1 dormitorio * 1 cama * 2 banos compartidos,Wifi * Cocina * Lavadora,4.33,33,2,130
128,Habitacion privada,Habitacion doble en Sagrada Familia,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.25,48,2,130
129,Habitacion privada,excelente room doble/TV/terraza plaza Espana/sants,2 huespedes * 1 dormitorio * 1 cama * 2 banos compartidos,Wifi * Cocina,4.95,35,2,255
130,Habitacion privada,Vegan friendly apt - 300m to Sagrada Familia,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora * Aire acondicionado,4.83,59,2,249
131,Habitacion privada,Espectacular habitacion doble con balcon,2 huespedes * 1 dormitorio * 1 cama * 2 banos compartidos,Wifi,4.61,42,2,95
132,Habitacion privada,NEW RENOVATED ROOM . SHARE APARMENT,2 huespedes * 1 dormitorio * 1 cama * 2 banos compartidos,Wifi * Cocina * Lavadora,4.43,48,2,176
133,Habitacion privada,Habitacion privada en Sagrada Familia ,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.83,49,2,139
134,Habitacion privada,Habitacion privada Sagrada Familia,"1 huesped * 1 dormitorio * 2,5 banos compartidos",17 dic. - 19 dic.,,36,2,138
135,Habitacion privada,Amplia y comoda habitacion doble con balcon,2 huespedes * 1 dormitorio * 1 cama * 2 banos compartidos,Wifi,4.52,42,2,22
136,Habitacion privada,Pequenaadorable habitacion BCN,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.42,29,2,187
137,Habitacion privada,Villa Gil 2,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.59,35,2,251
138,Alojamiento entero: loft,Classical loft close to pedrera!,4 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.34,94,2,60
139,Habitacion privada,Centric Double Room Private Bathroom,2 huespedes * 1 dormitorio * 1 cama * 2 banos,Wifi * Cocina * Lavadora,4.76,51,2,51
140,Habitacion de hotel boutique,"Hostal Khronos, Double Room with Balcony",2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.55,77,2,144
141,Habitacion privada,Spacious Cosy room & Private balcony and bathroom,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,5.0,53,2,229
142,Habitacion privada,Bonito piso en Barcelona!,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina,4.87,51,2,43
143,Habitacion de hotel,Hola Hostal Eixample. Cama en dormitorio 24pax,1 huesped * 1 dormitorio,Wifi * Cocina * Lavadora * Aire acondicionado,4.43,19,2,143
144,Habitacion privada,Lovely doble room in the center of BCN,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi,4.3,33,2,162
145,Habitacion privada,Sheng Jia Tang Fu Jin Dan Ren Jian ,"1 huesped * 1 dormitorio * 1,5 banos compartidos",Wifi * Lavadora,4.86,26,2,263
146,Habitacion privada,Mihlton B&B Habitacion individual bano privado,1 huesped * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.67,59,2,172
147,Habitacion privada,Room Sagrada Familia + Rooftop,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.65,51,2,205
148,Habitacion de hotel boutique,Double Room Gallery extra bed,2 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Aire acondicionado,4.29,80,2,85
149,Alojamiento entero: piso,Precioso Estudio en Barcelona *Bcn* E04,3 huespedes * 1 dormitorio * 1 cama * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Lavadora,4.62,103,2,193
150,Habitacion privada,Gran Habitacion en el Centro de Barcelona,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.75,76,2,104
151,Alojamiento entero: piso,Sunny apartment next to Sagrada Familia,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Aire acondicionado,4.9,110,2,235
152,Habitacion privada,BEAUTIFUL DOUBLE ROOM Sagrada Familia,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.94,58,2,28
153,Alojamiento entero: loft,Stylish 1-bedroom Apartment + Loft/Downtown BCN,5 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.68,114,2,232
154,Habitacion privada,Centric bedroom with private bath & views,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.86,55,2,52
155,Habitacion privada,Cozy Room in Eixample (downtown Barcelona) 3,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora,4.39,61,2,67
156,Habitacion privada,Habitacion doble/Sagrada Familia-Barcelona,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.45,45,2,133
157,Alojamiento entero: piso,Little Pretty Place... en el Corazon de Barcelona,4 huespedes * 2 dormitorios * 4 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.5,100,2,158
158,Habitacion privada,Habitacion en centro de Barcelona con bano privado,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi,4.66,59,2,110
159,Alojamiento entero: piso,2-1 * Loft a 10 minutos de la Sagrada Familia,4 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.58,117,2,4
160,Habitacion privada,Double room in Sagrada Familia.,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.87,51,2,89
161,Alojamiento entero: loft,Precioso Estudio en Barcelona *Bcn* E01,3 huespedes * 1 dormitorio * 1 cama * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Lavadora,4.57,103,2,192
162,Habitacion de hostal,Cozy and Modern Single Room,1 huesped * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Lavadora * Aire acondicionado,4.75,62,2,68
163,Habitacion privada,"Sagrada familia, centrico exterior.Piso particular","2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora * Aire acondicionado,5.0,45,2,223
164,Alojamiento entero: piso,Precioso Apartamento en Barcelona *Bcn* E02,3 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Cocina * Aire acondicionado,4.6,103,2,190
165,Alojamiento entero: loft,Precioso Loft en Barcelona *Bcn* E03.,3 huespedes * Estudio * 2 camas * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Aire acondicionado,4.56,103,2,195
